"Scenario","Sub-scenario","Scenarios","alpha","beta","lambda0-mu0","additional remarks"
1,"a","SC 1a",0,0,">0","mu0=0"
1,"b","SC 1b",0,0,">=0",
1,"c","SC 1c","<0","<0",">=0","alpha=beta"
1,"d","SC 1d",">0",">0",">=0","alpha=beta"
2,"a","SC 2a",">0",0,">0","mu0=0"
2,"b","SC 2b",">0",0,">=0",
2,"c","SC 2c",0,"<0",">=0",
2,"d","SC 2d",">0","<0",">=0",
3,"a","SC 3a",">0",0,"<0",
3,"b","SC 3b",0,"<0","<0",
3,"c","SC 3c",">0",">0","<0","alpha>beta"
3,"d","SC 3d",">0","<0","<0",
4,"a","SC 4a","<0",0,">0","mu0=0"
4,"b","SC 4b","<0",0,">=0",
4,"c","SC 4c",0,">0",">=0",
4,"d","SC 4d","<0",">0",">=0",
