"Age","Delta-13_C"
0,2.15877437325905
0.432656132430399,2.15877437325905
0.489089541008277,-2.40947075208914
0.564334085778781,0.598885793871866
0.658389766741911,1.6016713091922
0.696012039127163,0.988857938718663
0.771256583897667,2.04735376044568
0.921745673438675,-0.181058495821727
0.978179082016554,1.49025069637883
1.03461249059443,0.376044568245126
1.05342362678706,2.71587743732591
1.07223476297968,2.10306406685237
1.09104589917231,0.988857938718663
1.22272385252069,-0.069637883008356
1.27915726109857,-0.96100278551532
1.31677953348382,0.320334261838441
1.33559066967645,0.766016713091922
1.42964635063958,1.82451253481894
1.4484574868322,2.93871866295265
1.56132430398796,1.10027855153203
1.67419112114372,1.76880222841226
1.67419112114372,2.88300835654596
1.71181339352897,2.38161559888579
2.59593679458239,2.49303621169916
2.72761474793077,-1.7966573816156
2.87810383747178,0.487465181058496
3.00978179082017,1.32311977715877
3.1038374717833,0.487465181058496
3.83747178329571,2.15877437325905
3.91271632806622,0.43175487465181
3.98796087283672,1.88022284122563
4.15726109857035,1.93593314763231
4.40180586907449,-1.85236768802228
4.58991723100075,0.821727019498607
4.92851768246802,0.710306406685237
5.17306245297216,-1.07242339832869
5.30474040632054,-0.682451253481894
5.37998495109105,0.654596100278551
5.45522949586155,-2.07520891364902
5.56809631301731,0.0974930362117
5.64334085778781,-1.23955431754875
5.69977426636569,-0.236768802228412
5.81264108352145,0.153203342618385
5.96313017306245,-3.3008356545961
6.03837471783296,-1.23955431754875
6.09480812641084,-7.0891364902507
6.15124153498871,-2.96657381615599
6.18886380737397,-8.87186629526462
6.22648607975922,-0.571030640668524
6.22648607975922,-8.03621169916435
6.47103085026336,-10.0974930362117
6.52746425884124,-4.91643454038997
6.58389766741911,-10.2089136490251
6.62151993980436,-3.57938718662953
6.64033107599699,-9.42896935933148
6.65914221218962,-8.48189415041783
6.67795334838224,-7.53481894150418
7.05417607223476,-7.8133704735376
7.09179834462002,-10.933147632312
7.11060948081264,-11.6016713091922
7.12942061700527,-8.87186629526462
7.24228743416102,-9.15041782729805
7.37396538750941,-11.4902506963788
7.54326561324304,-10.7660167130919
7.61851015801354,-11.8245125348189
8.03235515425132,-12.9387186629526
8.05116629044394,-10.3203342618384
8.12641083521445,-10.7103064066852
8.22046651617758,-12.6601671309192
8.25808878856283,-8.87186629526462
8.38976674191121,-5.52924791086351
8.40857787810384,-11.1559888579387
8.52144469525959,-9.65181058495822
8.63431151241535,-9.20612813370474
8.72836719337848,-8.70473537604457
8.76598946576373,-11.4345403899721
8.80361173814899,-9.65181058495822
8.80361173814899,-10.041782729805
9.0293453724605,-9.20612813370474
9.0293453724605,-10.1532033426184
9.29270127915726,-10.4317548746518
9.48081264108352,-9.7075208913649
9.49962377727615,-10.5431754874652
10.0451467268623,-9.81894150417827
10.2144469525959,-10.5431754874652
10.4213694507148,-9.65181058495822
11.0233258088789,-9.42896935933148
11.0421369450715,-10.3760445682451
11.719337848006,-9.93036211699164
11.7381489841986,-10.6545961002786
12.0015048908954,-9.93036211699164
12.1519939804364,-9.3175487465181
12.6222723852521,-9.37325905292479
13.0549285176825,-10.7660167130919
13.5063957863055,-9.37325905292479
13.9202407825433,-8.983286908078
14.033107599699,-9.42896935933148
14.1271632806622,-9.87465181058496
14.2964635063958,-9.81894150417827
14.9736644093303,-11.4902506963788
15.0300978179082,-10.5988857938719
15.142964635064,-9.98607242339833
16.0270880361174,-10.0974930362117
16.0647103085026,-9.20612813370474
17.0428893905192,-9.09470752089137
