"Age","Elevation"
0,6638
0,7743.5
0,8849
1,6505.93333333333
1,7596.86666666667
1,8687.8
2,6373.86666666667
2,7450.23333333333
2,8526.6
3,6241.8
3,7303.6
3,8365.4
4,6109.73333333333
4,7156.96666666667
4,8204.2
5,5977.66666666667
5,7010.33333333333
5,8043
6,5845.6
6,6863.7
6,7881.8
7,5713.53333333333
7,6717.06666666667
7,7720.6
8,5581.46666666667
8,6570.43333333333
8,7559.4
9,5449.4
9,6423.8
9,7398.2
10,5317.33333333333
10,6277.16666666667
10,7237
11,5185.26666666667
11,6130.53333333333
11,7075.8
12,5053.2
12,5983.9
12,6914.6
13,4921.13333333333
13,5837.26666666667
13,6753.4
14,4789.06666666667
14,5690.63333333333
14,6592.2
15,4657
15,5544
15,6431
16,3849.75
16,4736.75
16,5623.75
17,3042.5
17,3929.5
17,4816.5
18,2235.25
18,3122.25
18,4009.25
19,1428
19,2315
19,3202
20,1428
20,2315
20,3203
21,1428
21,2315
21,3202
22,1388.11428571429
22,2275.11428571429
22,3162.11428571429
23,1348.22857142857
23,2235.22857142857
23,3122.22857142857
24,1308.34285714286
24,2195.34285714286
24,3082.34285714286
25,1268.45714285714
25,2155.45714285714
25,3042.45714285714
26,1228.57142857143
26,2115.57142857143
26,3002.57142857143
27,1188.68571428571
27,2075.68571428571
27,2962.68571428571
28,1148.8
28,2035.8
28,2922.8
29,1108.91428571429
29,1995.91428571429
29,2882.91428571429
30,1069.02857142857
30,1956.02857142857
30,2843.02857142857
31,1029.14285714286
31,1916.14285714286
31,2803.14285714286
32,989.257142857143
32,1876.25714285714
32,2763.25714285714
33,949.371428571429
33,1836.37142857143
33,2723.37142857143
34,909.485714285714
34,1796.48571428571
34,2683.48571428571
35,869.6
35,1756.6
35,2643.6
36,829.714285714286
36,1716.71428571429
36,2603.71428571429
37,789.828571428571
37,1676.82857142857
37,2563.82857142857
38,749.942857142857
38,1636.94285714286
38,2523.94285714286
39,710.057142857143
39,1597.05714285714
39,2484.05714285714
40,670.171428571429
40,1557.17142857143
40,2444.17142857143
41,630.285714285714
41,1517.28571428571
41,2404.28571428571
42,590.4
42,1477.4
42,2364.4
43,550.514285714286
43,1437.51428571429
43,2324.51428571429
44,510.628571428571
44,1397.62857142857
44,2284.62857142857
45,470.742857142857
45,1357.74285714286
45,2244.74285714286
46,430.857142857143
46,1317.85714285714
46,2204.85714285714
47,390.971428571429
47,1277.97142857143
47,2164.97142857143
48,351.085714285714
48,1238.08571428571
48,2125.08571428571
49,311.2
49,1198.2
49,2085.2
50,271.314285714286
50,1158.31428571429
50,2045.31428571429
51,231.428571428571
51,1118.42857142857
51,2005.42857142857
52,191.542857142857
52,1078.54285714286
52,1965.54285714286
53,151.657142857143
53,1038.65714285714
53,1925.65714285714
54,111.771428571428
54,998.771428571428
54,1885.77142857143
55,71.8857142857144
55,958.885714285714
55,1845.88571428571
56,32
56,919
56,1806
