"","Age","Elevation"
"1",0,7729.7269758146
"2",1,7590.32666573095
"3",2,7451.43706998431
"4",3,7313.71182496119
"5",4,7177.7565368502
"6",5,7043.81921900277
"7",6,6911.42195899353
"8",7,6778.92740269981
"9",8,6643.05895984343
"10",9,6498.50405149748
"11",10,6337.22308304554
"12",11,6149.12717840939
"13",12,5921.93616143017
"14",13,5643.02515017621
"15",14,5302.19462225267
"16",15,4896.27407276023
"17",16,4435.81305910457
"18",17,3950.14697102002
"19",18,3479.84364675724
"20",19,3061.68353782598
"21",20,2724.34597843561
"22",21,2472.02535000974
"23",22,2295.11857183962
"24",23,2177.96855209807
"25",24,2103.88860267567
"26",25,2057.91291194748
"27",26,2028.05721430125
"28",27,2005.31971429478
"29",28,1984.7728369014
"30",29,1962.23252400739
"31",30,1936.38737313707
"32",31,1906.82529214993
"33",32,1873.83037448035
"34",33,1838.02653766114
"35",34,1800.13717278551
"36",35,1760.84074269076
"37",36,1720.69829910698
"38",37,1680.02913706505
"39",38,1639.42220727712
"40",39,1598.7508248911
"41",40,1558.20701572312
"42",41,1517.82299382839
"43",42,1477.59447395111
"44",43,1437.49781861327
"45",44,1397.50195276438
"46",45,1357.57578997529
"47",46,1317.58298639151
"48",47,1277.83015661592
"49",48,1237.97670712007
"50",49,1198.12431106728
"51",50,1158.26917218918
"52",51,1118.4101107031
"53",52,1078.54751945457
"54",53,1038.68244584025
"55",54,998.815791269384
"56",55,958.768307355802
"57",56,919.077414554385
